,Gene Name,#PE = 1,#PE = 2,#PE = 3,#PE = 4,#PE = 5
363,ZNF18 ,0,0,0,1,0
364,GNB4 ,2,0,0,0,0
365,IL26 ,0,0,0,1,0
366,SLC5A7 ,2,0,0,0,0
367,SERTM2 ,0,0,0,1,0
368,HR ,0,0,0,1,0
369,CD58 ,1,0,0,0,0
370,CLCA4 ,6,0,0,0,0
371,SCN7A ,0,0,2,1,0
372,MXD4 ,0,0,0,1,0
373,MELTF ,2,0,0,0,0
374,SNTN ,0,0,0,1,0
375,CASZ1 ,4,0,0,0,0
376,ITPRIPL2 ,0,0,1,0,0
377,VCPIP1 ,1,0,0,0,0
378,WASHC4 ,1,0,0,1,0
379,CGNL1 ,0,0,0,3,0
380,SCGB1D1 ,0,0,0,1,0
381,DCP1A ,5,0,2,0,0
382,GYG1 ,4,0,0,0,0
383,ELOF1 ,2,0,0,0,0
384,SLC66A1 ,0,0,0,1,0
385,TAL2 ,0,0,0,1,0
386,IQCM ,0,0,0,1,0
387,KIZ ,0,0,1,0,0
388,USP54 ,0,0,0,5,0
389,TRIM55 ,0,0,0,4,0
390,DPY19L3 ,0,0,2,0,0
391,ABL1 ,0,0,2,0,0
392,TACC1 ,0,0,8,1,0
393,TMEM209 ,0,0,0,3,0
394,TM7SF2 ,0,0,1,0,0
395,IL12RB1 ,0,0,0,3,0
396,KANK1 ,3,0,0,0,0
397,DIPK2A ,0,0,1,0,0
398,EXO5 ,0,0,1,0,0
399,BANF2 ,0,0,0,2,0
400,LOC100514452 ,0,0,1,0,0
401,PUDP ,1,0,0,1,0
402,IFN-ALPHA-8 ,0,0,1,0,0
403,SAMD4B ,2,0,0,1,0
404,CDON ,0,0,0,2,0
405,LOC110260844 ,0,0,0,1,0
406,SMIM1 ,0,0,0,1,0
407,UBOX5 ,0,0,0,2,0
408,ARL10 ,0,0,0,1,0
409,DYNC2H1 ,0,0,2,1,0
410,BRAP ,0,0,0,2,0
411,TSPAN10 ,0,0,1,0,0
412,SEPTIN2 ,4,0,0,0,0
413,AUNIP ,0,0,0,2,0
414,TCF21 ,0,0,0,1,0
415,TMED10 ,1,0,0,0,0
416,WDR43 ,1,0,0,0,0
417,SRSF3 ,1,0,0,0,0
418,C7H15ORF39 ,0,0,0,2,0
419,FOSL2 ,0,0,0,1,0
420,RNF165 ,0,0,0,2,0
421,ODF1 ,0,1,0,1,0
422,CD83 ,0,0,0,4,0
423,ATP7A ,0,0,4,0,0
424,ADAMTS5 ,0,0,0,1,0
425,FANCM ,0,0,3,0,0
426,ARHGAP17 ,0,0,0,3,0
427,KIN ,0,0,2,0,0
428,KLHL29 ,0,0,0,2,0
429,SPNS2 ,0,0,0,3,0
430,LOC100737816 ,0,0,1,0,0
431,LOC100519299 ,0,0,0,1,0
432,LHX5 ,0,0,0,1,0
433,RND3 ,1,1,0,0,0
434,KLHL41 ,2,0,4,1,0
435,SGMS1 ,0,1,1,1,0
436,TMPRSS7 ,0,0,0,2,0
437,GLRA1 ,0,0,1,0,0
438,CCDC174 ,0,0,0,1,0
439,RASGRP4 ,0,0,5,1,0
440,ZNF692 ,0,0,0,4,0
441,SERP2 ,0,0,1,0,0
442,MIGA1 ,4,0,0,0,0
443,MRPS11 ,1,0,1,0,0
444,ELP3 ,5,0,0,0,0
445,TEDC1 ,0,0,0,2,0
446,CARMIL2 ,0,0,2,1,0
447,TNPO2 ,1,0,0,0,0
448,LOC100154042 ,0,0,1,0,0
449,PAAF1 ,8,0,0,0,0
450,ZCWPW2 ,0,0,0,2,0
451,L3MBTL2 ,0,0,0,3,0
452,PRKAR2B ,2,0,0,0,0
453,ANKS1B ,0,0,0,8,0
454,YPEL4 ,0,0,2,0,0
455,LOC110260809 ,0,0,0,3,0
456,TIAM2 ,0,0,0,3,0
457,UBE2D2 ,0,1,3,0,0
458,TCEAL8 ,0,0,0,2,0
459,LOC102166944 ,0,0,4,0,0
460,ACSL3 ,3,0,0,0,0
461,UTP25 ,0,0,1,0,0
462,ZIC4 ,0,0,3,2,0
463,FAS ,0,1,0,7,0
464,U2SURP ,4,0,0,0,0
465,ERGIC3 ,4,0,0,0,0
466,TRANK1 ,0,0,0,2,0
467,NPG1 ,1,0,0,0,0
468,PKLR ,1,0,0,0,0
469,CDK4 ,0,0,1,0,0
470,TMEFF2 ,0,0,0,3,0
471,ESRRB ,0,0,3,0,0
472,MON1A ,0,0,3,0,0
473,UBR5 ,5,0,0,0,0
474,TLCD5 ,0,0,0,1,0
475,C5H12ORF50 ,0,0,0,3,0
476,NYAP1 ,0,0,0,2,0
477,FAM166C ,0,0,0,1,0
478,MAP2 ,6,0,0,0,0
479,BMP8B ,0,0,3,0,0
480,TIMP3 ,0,0,1,0,0
481,SNX4 ,0,1,3,0,0
482,ATP6V1A ,4,1,0,0,0
483,C2H19ORF44 ,0,0,0,2,0
484,LOC110258961 ,0,0,1,0,0
485,MFSD12 ,0,0,0,2,0
486,SORD ,1,1,0,0,0
487,ELK4 ,0,0,3,0,0
488,NADK2 ,4,0,0,0,0
489,ANK2 ,5,0,0,0,0
490,DYSF ,5,0,0,0,0
491,FRZB ,2,0,0,0,0
492,SGK2 ,0,0,2,1,0
493,HAO2 ,4,0,0,0,0
494,CYP4F3 ,0,0,1,0,0
495,DPEP3 ,0,0,1,0,0
496,ACVRL1 ,0,0,2,0,0
497,ECI2 ,1,0,0,0,0
498,MOSMO ,0,0,0,2,0
499,TTC8 ,0,0,0,8,0
500,CGGBP1 ,1,0,0,0,0
501,ARHGAP12 ,9,0,0,0,0
502,PCBD2 ,2,0,0,0,0
503,CCNJ ,0,0,3,0,0
504,AMOT ,0,0,1,0,0
505,TUBB4A ,1,0,0,0,0
506,NPY2R ,0,1,1,0,0
507,SMAP1 ,5,0,1,0,0
508,LIG1 ,0,0,4,0,0
509,MAP3K14 ,0,0,1,0,0
510,SYK ,1,0,4,0,0
511,PTP4A1 ,3,0,0,0,0
512,LOC100514986 ,0,0,1,0,0
513,PRRX1 ,0,0,1,1,0
514,GATM ,1,0,0,0,0
515,PPP4R3B ,0,0,3,0,0
516,SPIC ,0,0,2,0,0
517,BAHD1 ,0,0,0,2,0
518,CCT6 ,0,1,0,0,0
519,TSPAN2 ,0,0,3,0,0
520,C6H1ORF94 ,0,0,0,1,0
521,LOC110260575 ,0,0,1,0,0
522,PROX1 ,0,0,0,1,0
523,LOC100512888 ,0,0,0,1,0
524,GALNT12 ,0,0,1,0,0
525,LOC100525476 ,0,0,1,0,0
526,NRXN1 ,7,0,1,0,0
527,OSTC ,2,0,0,0,0
528,LOC110259573 ,0,0,1,0,0
529,PRR15 ,0,0,1,0,0
530,UBAP1 ,0,0,0,5,0
531,KCNQ5 ,0,0,0,5,0
532,GOLM2 ,3,0,2,0,0
533,STK35 ,0,0,0,1,0
534,RPL21 ,1,0,0,0,0
535,ANGPTL1 ,0,0,0,3,0
536,PNMT ,0,1,1,0,0
